institutionCode,institutionName,country,state,collectionCode,collectionName,size,tier,percentPublic,type,lat,lon,url,scan,idigbio,gbif
HSMNCH,Bernice P. Bishop Museum,USA,HI,BPBM,,14500000,1,0.01,Private,21.3329,-157.8706,https://www.bishopmuseum.org/,Snapshot,TRUE,TRUE
ILLM,Illinois State Museum,USA,IL,ILLM,,55000,4,0,Government,39.7969,-89.6554,http://www.museum.state.il.us/ismdepts/zoology/collections.html,No,FALSE,FALSE
ILLU,Illinois State University ,USA,IL,ENT,Entomological Research Collection,400000,3,0,University,40.5125,-88.9946,,No,FALSE,FALSE
INHS,Illinois Natural History Survey ,USA,IL,INHSIC,Insect Collection,7000000,1,0.09,University,40.0928,-88.239,http://wwx.inhs.illinois.edu/collections/insect,Snapshot,TRUE,TRUE
ISUI,Iowa State University ,USA,IA,IC,Insect Collection,1000000,2,0,University,42.0302,-93.6461,https://www.ent.iastate.edu/insectcollection/,No,FALSE,FALSE
JMNU,James Madison University,USA,VA,JMNU,,20000,4,0,University,38.4379,-78.8713,,No,FALSE,FALSE
JTNM,Joshua Tree National Monument,USA,CA,JTMN,,1039,4,0,University,34.129,-116.0376,https://www.nps.gov/jotr/learn/historyculture/collections.htm,No,FALSE,FALSE
KKIC,Kojun Kanda Insect Research Collection,USA,AZ,KKIC,,10000,4,0.03,4,35.1919,-111.6533,http://symbiota4.acis.ufl.edu/scan/portal/collections/misc/collprofiles.php?collid=169,Live,FALSE,FALSE
KNWR,Kenai National Wildlife Refuge,USA,AK,KNWR,,80000,4,0.01,Government,60.4749,-151.0843,https://www.fws.gov/refuge/Kenai/what_we_do/science/specimens.html,No,FALSE,TRUE
KSU,Kansas State University ,USA,KS,MEPAR,Museum of Entomological and Prairie Arthropod Research,300000,3,0.06,University,39.1971,-96.5843,http://entomology.k-state.edu/department-info/facilities/insect-museum/,Snapshot,TRUE,TRUE
KU,University of Kansas,USA,KS,SEMC,Natural History Museum Entomology Division,4900000,1,0.28,University,38.9548,-95.2561,https://biodiversity.ku.edu/entomology,Snapshot,TRUE,TRUE
KUTZ,Kutztown University,USA,PA,GPSC,Gregory P. Setliff Collection,2000,4,0.29,University,40.5121,-75.7849,http://www.kutztown.edu/acad/biology/,Live,TRUE,TRUE
LACM,Natural History Museum of Los Angeles County,USA,CA,LACMEC,,5800000,1,0.03,Private,34.0169,-118.289,http://www.nhm.org/site/research-collections/entomology,Snapshot,TRUE,TRUE
LNU,Lincoln University,USA,PA,LNU,,3000,4,0.52,University,39.8072,-75.9273,,No,FALSE,FALSE
LSU,Louisiana State University,USA,LA,AM,Arthropod Museum,1000000,2,0,University,30.4155,-91.1798,http://www.lsuinsects.org/about.html,No,FALSE,FALSE
LSU,Maine Forest Service ,USA,ME,IC,Insect Collection,50000,4,0,University,44.3205,-69.7745,https://www.informe.org/doc/collcover.htm,No,FALSE,FALSE
LU,Laval University,CA,QC,LU,,375000,3,0,University,46.7817,-71.2747,,No,FALSE,FALSE
MAJC,M. Andrew Johnston Insect Research Collection,USA,AZ,MAJC,,10000,4,0.38,4,33.423,-111.933,https://desertbeetles.org/majc/,Live,TRUE,TRUE
MGU,McGill University,CA,QC,LEMQ,Lyman Entomological Museum,2800000,2,0.09,University,45.4059,-73.9389,http://lyman.mcgill.ca/,Snapshot,FALSE,FALSE
MI,Montreal Insectarium,CA,QC,MI,,225000,3,0,Private,45.561,-73.5578,http://museesmontreal.org/en/museums/montreal-insectarium-space-for-life,No,FALSE,FALSE
MISSA,Mississippi State University,USA,MS,MEM,Mississippi Entomological Museum,1100000,2,0.2,University,33.4536,-88.8015,http://mississippientomologicalmuseum.org.msstate.edu/,Live,TRUE,TRUE
MMMN,Manitoba Museum of Man and Nature,CA,MB,MMMN,,75000,4,0.39,Private,49.9,-97.1364,https://manitobamuseum.ca/main/,No,FALSE,FALSE
MMNS,Mississippi Museum of Natural Science,USA,MS,MMNS,,6000,4,0,Private,32.3246,-90.1568,https://www.mdwfp.com/museum/seek-study/bio-collections/insects/,No,FALSE,FALSE
MMU,McMaster University ,CA,ON,MMUC,McMaster University Collection,75000,4,0.01,University,43.2628,-79.9228,,No,FALSE,FALSE
MNA,Museum of Northern Arizona ,USA,AZ,WACA,,300000,3,0,University,35.2353,-111.6622,https://musnaz.org/wp-content/uploads/2017/10/collection-size-10-2017.pdf,Live,FALSE,FALSE
MNHM,May Natural History Museum,USA,CO,MNHM,,100000,3,0,Private,38.7053,-104.8408,https://coloradospringsbugmuseum.com/,No,FALSE,FALSE
MONT,Montana State University,USA,MT,MTEC,Entomology Collection,2000000,2,0,University,45.6674,-111.0545,https://portal.nifa.usda.gov/web/crisprojectpages/0098367-curation-of-the-msu-entomology-collection.html,No,FALSE,FALSE
MPM,Milwaukee Public Museum ,USA,WI,ENT,Invertebrate Zoology-Insect Collection,1000000,2,0.02,Private,43.0407,-87.9213,http://www.mpm.edu/research-collections/invertebrate-zoology,Snapshot,TRUE,TRUE
MSHJ,Museum of Science & History of Jacksonville,USA,FL,MSHJ,,5000,4,0,Private,30.319,-81.6596,http://themosh.org/,No,FALSE,FALSE
MSM,Maine State Museum,USA,ME,MSM,,107000,3,0,Private,44.3059,-69.7828,https://mainestatemuseum.org/collections/,No,FALSE,FALSE
MSU,Michigan State University ,USA,MI,MSUC,The Albert J. Cook Arthropod Research Collection,1500000,2,0.14,University,42.7311,-84.4773,http://www.arc.ent.msu.edu/,Live,TRUE,TRUE
NAUF,Northern Arizona University,USA,AZ,CPMAB,Colorado Plateau Museum of Arthropod Biodiversity,250000,3,0.28,University,35.1917,-111.6538,http://www.bugs.nau.edu/,Live,TRUE,TRUE
NAUF,Northern Arizona University,USA,AZ,NAUF5F,Forest Entomology Collection,10000,4,0.03,University,35.1761,-111.6573,http://scan-bugs.org/portal/collections/misc/collprofiles.php?collid=177,Live,FALSE,FALSE
NBM,New Brunswick Museum,CA,NB,NBM,,100000,3,0.6,Private,45.2734,-66.065,https://www.nbm-mnb.ca/search-the-collections/,,FALSE,FALSE
NCMN,North Carolina Museum of Natural Resources,USA,NC,NC,Naturalist Center,2500,4,0,University,35.7823,-78.6397,http://naturalsciences.org/,No,FALSE,FALSE
NCSU,North Carolina State University ,USA,NC,IC,Insect Collection,1750000,2,0.07,University,35.7872,-78.6721,https://www.cals.ncsu.edu/entomology/museum/index.php,No,FALSE,FALSE
NDA,North Dakota State University ,USA,ND,IRC,Insect Reference Collection,1070000,2,0,University,46.8953,-96.8037,https://www.ndsu.edu/entomology/research/facilities/,No,FALSE,FALSE
NHIP,Natural History Institute at Prescott College,USA,AZ,NHIP,,2000,4,0,University,34.5429,-112.468,http://naturalhistoryinstitute.org/collections/,No,FALSE,FALSE
NJSM,New Jersey State Museum,USA,NJ,ENT,Entomology,50000,4,0,University,40.2212,-74.7736,https://www.nj.gov/state/museum/dos_museum_collection.html,No,FALSE,FALSE
NMNH,New Mexico Museum of Natural History and Science,USA,NM,NMNH,,7000,4,0,Private,35.0981,-106.6654,http://www.nmnaturalhistory.org/bioscience/bioscience-collections,No,FALSE,FALSE
NMSU,New Mexico State University,USA,NM,CA,Collection of Arthropods,500000,3,0.18,University,32.2825,-106.7565,http://arthropods.nmsu.edu/,Live,TRUE,TRUE
NMU,Northern Michigan University,USA,MI,NMU,,30000,4,0,University,46.5587,-87.4062,https://www.nmu.edu/biology/zoological-collections,No,FALSE,FALSE
NSDA,Nevada State Department of Agriculture,USA,NV,ENT,Entomology,275000,3,0,University,39.5312,-119.7724,http://museums.nevadaculture.org/nsmlv-home,No,FALSE,FALSE
NYSM,New York State Museum,USA,NY,ENT,Entomology,1100000,2,0,Private,42.6484,-73.7616,http://www.nysm.nysed.gov/research-collections/biology/entomology/collections,No,FALSE,FALSE
ODA,Oregon Department of Agriculture ,USA,OR,ODA,,95000,4,0,University,44.9439,-123.0263,https://www.oregon.gov/ODA/programs/IPPM/InsectsSpiders/Pages/ODAInsectCollection.aspx,No,FALSE,FALSE
OMNH,Oklahoma State University,USA,OK,RINVRT,The Sam Noble Museum Department of Recent Invertebrates,550000,3,0.26,University,35.1943,-97.4489,http://samnoblemuseum.ou.edu/collections-and-research/recent-invertebrates/,Snapshot,TRUE,FALSE
OSAC,Oregon State University ,USA,OR,OSAC,Arthropod Collection,2600000,2,0.08,University,44.567,-123.2818,http://osac.oregonstate.edu,Snapshot,TRUE,TRUE
OSEC,University of Oklahoma,USA,OK,KCEM, K. C. Emerson Museum,50000,4,0,University,36.1251,-97.0702,http://entoweb.okstate.edu/museum/museum.htm,No,FALSE,FALSE
OSH,University of Wisconsin Oshkosh,USA,WI,OSH,,200000,3,0,University,44.0252,-88.5511,http://www.uwosh.edu/biology/department-facilities/insect-collection-and-museum-1,No,FALSE,FALSE
OSU,Ohio State University,USA,OH,OSU,C.A. Triplehorn Insect Collection,3600000,1,0.14,University,39.9971,-83.044,wasps.osu.edu,Snapshot,TRUE,TRUE
PDA,Pennsylvania Department of Agriculture ,USA,PA,PDA,,10000,4,0.15,Government,40.2875,-76.881,https://www.agriculture.pa.gov/Plants_Land_Water/PlantIndustry/Entomology/Pages/default.aspx,No,FALSE,FALSE
PMNS,Perot Museum of Nature and Science,USA,TX,PMNS,,25000,4,0,Private,32.7866,-96.8068,https://www.perotmuseum.org/,No,FALSE,FALSE
PMSC,Putnam Museum and Science Center,USA,IA,PMSC,,12000,4,0,University,41.5309,-90.6023,http://www.putnam.org/Collections-(1)/Overview,No,FALSE,FALSE
PPCD,West Virginia Department of Agriculture ,USA,WV,IC,Insect collection,250000,3,0,University,38.3369,-81.6115,https://agriculture.wv.gov/divisions/plantindustries/Pages/default.aspx,No,FALSE,FALSE
PSUC,Penn State University,USA,PA,ENTO,Frost Entomological Museum,2100000,2,0.03,University,40.8029,-77.8624,http://www.ento.psu.edu/home/frost/,Snapshot,TRUE,FALSE
PU,Purdue University,USA,IN,PERC,Purdue Entomological Research Collection,1500000,2,0.02,University,40.4236,-86.9169,http://www.entm.purdue.edu/PERC/,Live,TRUE,TRUE
RAM,Royal Alberta Museum ,CA,AB,RAM,,400000,3,0,Private,53.5471,-113.4889,http://royalbcmuseum.bc.ca/nh-collections/entomology/,No,FALSE,FALSE
RBCM,Royal British Columbia Museum ,CA,BC,EC,Entomology Collection,250000,3,0.04,Private,48.4194,-123.3674,http://www.royalsaskmuseum.ca/research-and-collections/biology/cory-sheffield,Snapshot,FALSE,TRUE
RMBL,Rocky Mountain Biological Laboratory ,USA,CO,RMBL,,5000,4,0.37,Private,38.9585,-106.9878,http://www.rmbl.org/,No,FALSE,FALSE
ROM,Royal Ontario Museum,CA,ON,ROM,,300000,3,0,Private,43.6677,-79.3946,https://www.rom.on.ca/en/collections-research?_ga=2.158480442.1415836621.1547315719-39921932.1547315719,No,FALSE,FALSE
RSM,Royal Saskatchewan Museum,CA,SK,RSM,,200000,3,0,Private,50.4398,-104.6165,https://royalsaskmuseum.ca/rsm/research/biology/cory-sheffield,No,FALSE,FALSE
RUAC,Rutgers University ,USA,NJ,EM,Entomological Museum,200000,3,0.03,University,40.4818,-74.4395,http://entomology.rutgers.edu/museum/,No,FALSE,FALSE
SBMNH,Santa Barbara Museum of Natural History ,USA,CA,SBMNHENT,Entomology Collection,500000,3,0.23,Private,34.441,-119.714,http://www.sbnature.org/,Live,TRUE,TRUE
SCSM,South Carolina State Museum,USA,SC,SCSM,,24000,4,0,University,33.9991,-81.0481,http://www.sci.sdsu.edu/collections/terrestrialarthropods.htm,No,FALSE,TRUE
SDNH,San Diego Natural History Museum,USA,CA,ENT,Entomology,900000,3,0,Private,32.7321,-117.1475,http://www.sdnhm.org/science/entomology/collections/,No,FALSE,FALSE
SDSU,South Dakota State University,USA,SD,SMIRC,The Severin-McDaniel Insect Research Collection,1200000,2,0.01,University,44.3185,-96.7878,https://www.sdstate.edu/agronomy-horticulture-plant-science/severin-mcdaniel-insect-research-collection,Live,TRUE,FALSE
SDSU,San Diego State University ,USA,CA,TAC,Terrestrial Arthropods Collection,50000,4,0.08,University,32.7774,-117.0719,http://www.sci.sdsu.edu/collections/terrestrialarthropods.htm,Live,TRUE,FALSE
SHSU,Sam Houston State University,USA,TX,SHSU,,400000,3,0,University,30.7132,-95.5504,,No,FALSE,FALSE
SIIS,Staten Island Institute of Arts and Sciences,USA,NY,SIME,Staten Island Museum - Entomology,500000,3,0.06,Private,40.6441,-74.1022,http://www.statenislandmuseum.org/collections/natural-science-collection,No,FALSE,FALSE
SIU,Southern Illinois University ,USA,IL,IC,Insect Collection,325000,3,0,University,37.713,-89.2223,http://mypage.siu.edu/waring/collections.html,No,FALSE,FALSE
SJSC,San Jose State University,USA,CA,JGEM,J. Gordon Edwards Museum of Entomology,1000000,2,0,University,37.3353,-121.8827,http://www.sjsu.edu/biology/research/facilities_collections/,No,FALSE,FALSE
SMNC,Stamford Museum & Nature Center,USA,CN,SMNC,,3000,4,0,Private,41.1236,-73.5453,http://www.stamfordmuseum.org/,No,FALSE,FALSE
SNHM,The Schiele Museum of Natural History,USA,NC,SNHM,,50000,4,0,Private,35.2533,-81.1584,http://www.schielemuseum.org/collections-research.html,No,FALSE,FALSE
