institutionCode,institutionName,country,state,collectionCode,collectionName,size,tier,percentPublic,type,lat,lon,url,scan,idigbio,gbif
UMA,University of Massachusetts ,USA,MA,MC,Museum Collection,20000,4,0.33,University,42.315,-71.0377,https://bcrc.bio.umass.edu/nhc/collections/insect-collection,No,FALSE,FALSE
UMA,University of Massachusetts,USA,MA,UMA,,100000,3,0.01,University,42.3912,-72.5267,https://bcrc.bio.umass.edu/nhc/collections/insect-collection,No,FALSE,FALSE
UMBC,University of Montreal,CA,QC,QMOR,Collection Entomologique Ouellet-Robert,1500000,2,0.03,University,45.5045,-73.6129,http://www.irbv.umontreal.ca/ouellet-robert,Snapshot,FALSE,FALSE
UMI,University of Michigan,USA,MI,BSDL,Biological Station Douglas Lake (Pellston),4000,4,0,University,45.5593,-84.6742,,No,FALSE,FALSE
UMI,University of Michigan,USA,MI,MZID,"Musem of Zoology, Insect Division",3500000,1,0,University,42.2761,-83.7413,https://lsa.umich.edu/ummz/insects.html,No,TRUE,FALSE
UMNH,University of Utah,USA,UT,ENT,Entomology Collection at the Natural History Museum of Utah,250000,3,0.21,University,40.7643,-111.8229,https://nhmu.utah.edu/collections/entomology,Live,TRUE,TRUE
UMRM,University of Missouri-Columbia ,USA,MO,EEM,Enns Entomology Museum,5750000,1,0,University,38.9407,-92.3277,https://museum.insecta.missouri.edu/,No,FALSE,FALSE
UMSP,University of Minnesota ,USA,MN,UMSP,Insect Collection,3877000,1,0.01,University,44.988,-93.1837,http://insectcollection.umn.edu/,Live,TRUE,FALSE
UMTB,University of Manitoba,CA,MB,JBWM,J.B. Wallis Museum of Entomology,2000000,2,0,University,49.806,-97.1379,http://www.wallisroughley.ca/,No,FALSE,FALSE
UNAM,Coleccion Nacional de Insectos CNIN - UNAM,MX,DF,UNAM,,3000000,1,0.34,University,19.3364,-99.1041,http://www.ibiologia.unam.mx/colecciones/insectos/centro_insec.htm,Snapshot,TRUE,TRUE
UND,University of Notre Dame ,USA,IN,AC,Arthropod Collection,230000,3,0,University,41.7056,-86.2353,https://biodiversity.nd.edu/collections/arthropod-collection/,No,FALSE,FALSE
UNHP,University of New Hampshire ,USA,NH,IAC,Insect and Arachnid Collections,700000,3,0.01,University,43.1348,-70.9329,http://insectcoll.unh.edu,No,FALSE,FALSE
UNL,University of Nebraska State Museum,USA,NE,ID, Insect Division,2000000,2,0,University,37.7206,-97.2936,http://museum.unl.edu/research/entomology/personnel.html,Snapshot,FALSE,FALSE
UNLV,University of Nevada Las Vegas ,USA,NV,ENTO,Marjorie Barrick Museum of Natural History - Entomology,30000,4,0,University,36.1068,-115.1411,http://www.naturalhistory.unr.edu/,No,FALSE,FALSE
UNM,University of New Mexico ,USA,NM,MSBA,"Museum of Southwestern Biology, Division of Arthropods",200000,3,0.23,University,35.0833,-106.6217,http://msb.unm.edu/arthropods/,Live,TRUE,TRUE
UNR,University of Nevada ,USA,NV,ENT,"Reno, Museum of Natural History, Entomology Research Collection",400000,3,0,University,39.5377,-119.8121,http://www.naturalhistory.unr.edu/research/,No,FALSE,FALSE
UPR,University of Puerto Rico ,USA,PR,INVCOL,Mayaguez Invertebrate Collection,130000,3,0.01,University,18.2109,-67.1409,https://www.uprm.edu/invcol/,Live,FALSE,FALSE
UPR,University of Puerto Rico ,USA,PR,MEBT,Museo de Entomología y Biodiversidad Tropical Collection,200000,3,0,University,18.3958,-66.0627,,No,FALSE,FALSE
UPRM,University of Puerto Rico Rio Piedras Campus,USA,PR,ZM,Zoology Museum,15500,4,0.44,University,18.4042,-66.0511,http://mzoologia.uprrp.edu/,Live,FALSE,FALSE
URI,University of Rhode Island,USA,RI,URI,,200000,3,0,University,41.4861,-71.5309, http://web.uri.edu/pse/uri-insect-collection/ ,No,FALSE,FALSE
USDA-ARS,USDA Bee Biology and Systematics Laboratory,USA,UT,ARS,,1500000,2,0.42,Government,41.7451,-111.81,https://www.ars.usda.gov/pacific-west-area/logan-ut/pollinating-insect-biology-management-systematics-research/,Snapshot,TRUE,TRUE
USGS,USGS Native Bee Inventory and Monitoring Lab,USA,MD,PWRC-US-CA-MX,,275000,3,0.97,Government,39.0542,-76.8171,https://www.usgs.gov/centers/pwrc/science/native-bee-inventory-and-monitoring-lab?qt-science_center_objects=0#qt-science_center_objects,Snapshot,TRUE,FALSE
USNM,United States National Museum ,USA,DC,USNMENT,Entomology Collections,35000000,1,0.02,Government,38.8913,-77.0261,http://entomology.si.edu/default.html,Live,TRUE,TRUE
USU,Utah State University ,USA,UT,AEI,American Entomological Institute,1400000,2,0,University,41.7433,-111.811,http://www.vmnh.net/,No,FALSE,FALSE
USU,Utah State University,USA,UT,USU,,2100000,2,0,University,41.7433,-111.811,http://www.biology.usu.edu/research/research_centers/insect-collection,Snapshot,FALSE,FALSE
UTC,University of Tennessee at Chattanooga,USA,TN,UTCI,,30000,4,0.76,University,35.0477,-85.2964,http://www.utc.edu/biology-geology-environmental-science/facilities/facilities.php,Live,TRUE,TRUE
UTEP,University of Texas - El Paso,USA,TX,UTEP,,325000,3,0,University,31.7709,-106.5046,https://www.utep.edu/biodiversity/collections/entomology.html,Snapshot,TRUE,TRUE
UVM,University of Vermont ,USA,VA,VTZT,Zadock Thompson Zoological Collection-Invertebrates,300000,3,0.01,University,44.4803,-73.1985,http://www.uvmzoo.org/,Live,TRUE,FALSE
UWA,The University of West Alabama ,USA,AL,ENT,Entomological Collection.,10000,4,0,University,32.5913,-88.1863,http://www.blackbeltmuseum.com/collections/,No,FALSE,FALSE
